accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,mean_abs_inventory,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
1.746230937627047e-11,-0.02,30.115,-2.2118917808455762e-11,0.03,4.0,0.02,0.01,0.0,0.11999999999534339,100000.12,0.05,0.4783886718903729,1.0,-0.04,3.0,0.034999999988940544,3.4999928239087656e-07,0.08955223880597014,0.005999999999767169,0.029999999998835847,200.0,50.0,2.0,0.13999999999999999,avellaneda_stoikov,0.0,4.0,39921
-1.7462586932026625e-11,0.04000000000000002,6.335,-4.0745219698212765e-12,0.11000000000000003,21.0,0.105,0.0525,0.0,0.9299999999784632,100000.92999999998,0.45000000000000007,1.4299566844499119,1.0,-0.02,3.0,0.16499999999359716,1.6499839950912197e-06,1.2786069651741294,0.04649999999892316,0.04428571428468872,200.0,9.523809523809524,2.0,0.6100000000000002,microstructure_adaptive,0.0,21.0,209597
-3.899913725291526e-11,0.08999999999999997,4,1.9208544477233858e-11,0.14000000000000004,27.0,0.135,0.0675,0.0,0.2599999999802094,100000.25999999998,-0.12000000000000004,1.7718079700089016,1.0,-0.02,4.0,0.33000000001629815,3.299989275197838e-06,1.3582089552238805,0.01299999999901047,0.009629629628896644,200.0,7.407407407407407,3.0,0.5400000000000001,naive_symmetric,0.0,27.0,269928
-1.3969769785404651e-11,0.07999999999999997,4.845,-1.513396699626135e-11,0.12000000000000004,23.0,0.115,0.0575,0.0,0.49999999997089617,100000.49999999997,0.10999999999999976,1.664675427405284,1.0,-0.02,3.0,0.3000000000029104,2.999979450169871e-06,1.3980099502487562,0.024999999998544808,0.021739130433517224,200.0,8.695652173913043,3.0,0.5300000000000001,inventory_skew,0.0,23.0,229930
-4.0745254392682284e-12,-0.01,28.225,1.7462351009633892e-12,0.02,3.0,0.015,0.0075,0.0,0.059999999997671694,100000.06,-0.02,0.3154401489382559,1.0,-0.02,1.0,0.059999999997671694,5.999994299772585e-07,0.09950248756218906,0.0029999999998835845,0.0199999999992239,200.0,66.66666666666667,3.0,0.12,avellaneda_stoikov,0.0,3.0,29992
-1.9208967749761996e-11,0.13,6.325,1.920856529391557e-11,0.1,18.0,0.09,0.045,0.0,0.25,100000.25,-0.12999999999999992,1.6053393497515398,1.0,-0.04,3.0,0.3000000000029104,2.999986650088511e-06,1.3333333333333333,0.0125,0.013888888888888888,200.0,11.11111111111111,3.0,0.5200000000000002,microstructure_adaptive,0.0,18.0,179947
-5.529732227671502e-11,0.07999999999999999,4,5.413315629088089e-11,0.17000000000000004,27.0,0.135,0.0675,0.0,-0.47000000000116415,99999.53,-0.7000000000000001,4.719494871360284,1.0,-0.14,7.0,1.2700000000040745,1.2699893955926213e-05,3.9651741293532337,-0.023500000000058207,-0.017407407407450524,200.0,7.407407407407407,4.0,0.5400000000000001,naive_symmetric,0.0,27.0,270043
-3.783515167832263e-11,0.05999999999999999,4.715,1.746252448198149e-12,0.12000000000000002,22.0,0.11,0.055,0.0,0.17999999996391125,100000.17999999996,-0.14999999999999994,1.347560906975989,1.0,-0.04,2.0,0.17999999999301508,1.7999940599497536e-06,1.0796019900497513,0.008999999998195563,0.008181818180177785,200.0,9.090909090909092,4.0,0.4900000000000001,inventory_skew,0.0,22.0,220036
1.1641555774932755e-12,0.0,26.98,-1.1641521080463235e-12,0.01,1.0,0.005,0.0025,0.0,0.0,100000.0,-0.030000000000000002,0.2639161633805939,1.0,-0.02,1.0,0.07000000000698492,6.999994750702429e-07,0.06965174129353234,0.0,0.0,200.0,200.0,4.0,0.06,avellaneda_stoikov,0.0,1.0,10014
1.571598406968633e-11,0.06999999999999999,6.26,-7.566981763407199e-12,0.07999999999999999,14.0,0.07,0.035,0.0,0.2900000000081491,100000.29000000001,-0.029999999999999964,0.9304147686870865,1.0,-0.04,2.0,0.17999999999301508,1.7999920799649987e-06,0.7164179104477612,0.014500000000407454,0.020714285714867792,200.0,14.285714285714286,4.0,0.44000000000000006,microstructure_adaptive,0.0,14.0,140009
3.2595953713965287e-11,-0.05000000000000003,4,-4.8894416293521203e-11,0.14000000000000004,24.0,0.12,0.06,0.0,0.16999999998370185,100000.16999999998,-0.08999999999999983,3.8232074783989387,1.0,-0.08,7.0,0.5799999999871943,5.799971000016944e-06,3.144278606965174,0.008499999999185093,0.007083333332654244,200.0,8.333333333333334,5.0,0.48000000000000015,naive_symmetric,0.0,24.0,239625
